user_id,weight_id,timestamp,weight
7195ab36-2a70-4602-ad4f-2793416fd6d0,w001,2023-01-01 08:00:00,68.5
7195ab36-2a70-4602-ad4f-2793416fd6d0,w002,2023-01-08 08:00:00,69.2
7195ab36-2a70-4602-ad4f-2793416fd6d0,w003,2023-01-15 08:00:00,68.8
7195ab36-2a70-4602-ad4f-2793416fd6d0,w004,2023-01-22 08:00:00,68.3
7195ab36-2a70-4602-ad4f-2793416fd6d0,w005,2023-01-29 08:00:00,68.9
7195ab36-2a70-4602-ad4f-2793416fd6d0,w006,2023-02-05 08:00:00,68.7
7195ab36-2a70-4602-ad4f-2793416fd6d0,w007,2023-02-12 08:00:00,69.1
7195ab36-2a70-4602-ad4f-2793416fd6d0,w008,2023-02-19 08:00:00,68.6
7195ab36-2a70-4602-ad4f-2793416fd6d0,w009,2023-02-26 08:00:00,68.4
7195ab36-2a70-4602-ad4f-2793416fd6d0,w010,2023-03-05 08:00:00,69.0
7195ab36-2a70-4602-ad4f-2793416fd6d0,w011,2023-03-12 08:00:00,68.8
7195ab36-2a70-4602-ad4f-2793416fd6d0,w012,2023-03-19 08:00:00,68.3
7195ab36-2a70-4602-ad4f-2793416fd6d0,w013,2023-03-26 08:00:00,68.9
7195ab36-2a70-4602-ad4f-2793416fd6d0,w014,2023-04-02 08:00:00,68.7
7195ab36-2a70-4602-ad4f-2793416fd6d0,w015,2023-04-09 08:00:00,69.2
7195ab36-2a70-4602-ad4f-2793416fd6d0,w016,2023-04-16 08:00:00,68.8
7195ab36-2a70-4602-ad4f-2793416fd6d0,w017,2023-04-23 08:00:00,68.5
7195ab36-2a70-4602-ad4f-2793416fd6d0,w018,2023-04-30 08:00:00,69.1
7195ab36-2a70-4602-ad4f-2793416fd6d0,w019,2023-05-07 08:00:00,68.9
7195ab36-2a70-4602-ad4f-2793416fd6d0,w020,2023-05-14 08:00:00,68.4
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w021,2023-01-01 08:00:00,70.2
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w022,2023-01-08 08:00:00,70.8
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w023,2023-01-15 08:00:00,70.4
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w024,2023-01-22 08:00:00,70.0
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w025,2023-01-29 08:00:00,70.6
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w026,2023-02-05 08:00:00,70.3
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w027,2023-02-12 08:00:00,70.9
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w028,2023-02-19 08:00:00,70.5
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w029,2023-02-26 08:00:00,70.1
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w030,2023-03-05 08:00:00,70.7
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w031,2023-03-12 08:00:00,70.4
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w032,2023-03-19 08:00:00,70.0
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w033,2023-03-26 08:00:00,70.6
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w034,2023-04-02 08:00:00,70.3
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w035,2023-04-09 08:00:00,70.8
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w036,2023-04-16 08:00:00,70.4
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w037,2023-04-23 08:00:00,70.2
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w038,2023-04-30 08:00:00,70.9
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w039,2023-05-07 08:00:00,70.7
35ff5e07-6a43-41f2-894c-e3c3f0b7a6db,w040,2023-05-14 08:00:00,70.2
